,area_type,location,total_sqft,bath,balcony,price,BHK
0,Super built-up  Area,1st Block Jayanagar,1630.0,3.0,2.0,194.0,3
1,Super built-up  Area,1st Block Jayanagar,1200.0,6.0,2.0,125.0,6
2,Super built-up  Area,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3
3,Super built-up  Area,1st Block Jayanagar,1235.0,2.0,2.0,148.0,2
4,Built-up  Area,1st Phase JP Nagar,1500.0,5.0,2.0,85.0,5
5,Built-up  Area,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1
6,Built-up  Area,1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2
7,Plot  Area,1st Phase JP Nagar,1200.0,7.0,2.0,240.0,8
8,Plot  Area,1st Phase JP Nagar,2200.0,7.0,2.0,350.0,5
9,Super built-up  Area,1st Phase JP Nagar,2825.0,4.0,3.0,250.0,4
10,Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3
11,Super built-up  Area,1st Phase JP Nagar,2024.0,3.0,2.0,157.0,3
12,Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2
13,Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2
14,Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3
15,Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2
16,Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,2.0,86.0,2
17,Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3
18,Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2
19,Super built-up  Area,1st Phase JP Nagar,2615.0,5.0,3.0,222.0,4
20,Super built-up  Area,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2
21,Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3
22,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2
23,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
24,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
25,Super built-up  Area,2nd Phase Judicial Layout,900.0,2.0,2.0,41.0,2
26,Super built-up  Area,2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3
27,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
28,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2
29,Built-up  Area,2nd Stage Nagarbhavi,3000.0,3.0,3.0,170.0,4
30,Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,3.0,450.0,6
31,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,2.0,245.0,4
32,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
33,Plot  Area,2nd Stage Nagarbhavi,600.0,4.0,2.0,100.0,3
34,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4
35,Plot  Area,2nd Stage Nagarbhavi,600.0,4.0,2.0,125.0,4
36,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
37,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
